old_deck_id	source_text	translated_text	material_type	proposed_target_deck_id	proposed_target_name	action
de-id-a1-kata-inti	der Name, die Namen	nama	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Vorname, die Vornamen	nama depan	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Nachname, die Nachnamen	nama belakang	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Adresse, die Adressen	alamat	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Telefonnummer, die Telefonnummern	nomor telepon	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	das Land, die Länder	negara	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Stadt, die Städte	kota	word	de-id-a1-kata-transportasi-layanan	Transportasi & Layanan Kota	MERGE_INTO_EXISTING
de-id-a1-kata-inti	die Sprache, die Sprachen	bahasa	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Familie, die Familien	keluarga	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Freund, die Freunde	teman laki-laki	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Freundin, die Freundinnen	teman perempuan	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Eltern	orang tua	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Vater, die Väter	ayah	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Mutter, die Mütter	ibu	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Bruder, die Brüder	saudara laki-laki	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Schwester, die Schwestern	saudara perempuan	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	das Kind, die Kinder	anak	word	de-id-a1-kata-identitaet-familie	Identitas & Keluarga	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Wohnung, die Wohnungen	apartemen	word	de-id-a1-kata-rumah-diri	Rumah & Diri	MERGE_INTO_EXISTING
de-id-a1-kata-inti	das Zimmer, die Zimmer	kamar	word	de-id-a1-kata-rumah-diri	Rumah & Diri	MERGE_INTO_EXISTING
de-id-a1-kata-inti	die Küche, die Küchen	dapur	word	de-id-a1-kata-rumah-diri	Rumah & Diri	MERGE_INTO_EXISTING
de-id-a1-kata-inti	das Bad, die Bäder	kamar mandi	word	de-id-a1-kata-rumah-diri	Rumah & Diri	MERGE_INTO_EXISTING
de-id-a1-kata-inti	der Schlüssel, die Schlüssel	kunci	word	de-id-a1-kata-rumah-diri	Rumah & Diri	MERGE_INTO_EXISTING
de-id-a1-kata-inti	der Bahnhof, die Bahnhöfe	stasiun kereta	word	de-id-a1-kata-transportasi-layanan	Transportasi & Layanan Kota	MERGE_INTO_EXISTING
de-id-a1-kata-inti	die Haltestelle, die Haltestellen	halte	word	de-id-a1-kata-transportasi-layanan	Transportasi & Layanan Kota	MERGE_INTO_EXISTING
de-id-a1-kata-inti	die Straße, die Straßen	jalan	word	de-id-a1-kata-transportasi-layanan	Transportasi & Layanan Kota	MERGE_INTO_EXISTING
de-id-a1-kata-inti	der Supermarkt, die Supermärkte	supermarket	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Apotheke, die Apotheken	apotek	word	de-id-a1-kata-tubuh-kesehatan	Tubuh & Kesehatan	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Arzt, die Ärzte	dokter laki-laki	word	de-id-a1-kata-tubuh-kesehatan	Tubuh & Kesehatan	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Ärztin, die Ärztinnen	dokter perempuan	word	de-id-a1-kata-tubuh-kesehatan	Tubuh & Kesehatan	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Arbeit	pekerjaan	word	de-id-a1-kata-profesi	Profesi & Tempat Kerja	MERGE_INTO_EXISTING
de-id-a1-kata-inti	der Beruf, die Berufe	profesi	word	de-id-a1-kata-profesi	Profesi & Tempat Kerja	MERGE_INTO_EXISTING
de-id-a1-kata-inti	die Schule, die Schulen	sekolah	word	de-id-a1-kata-rutinitas-waktu-belajar	Rutinitas, Waktu & Belajar	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Kurs, die Kurse	kursus	word	de-id-a1-kata-rutinitas-waktu-belajar	Rutinitas, Waktu & Belajar	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Frage, die Fragen	pertanyaan	word	de-id-a1-kata-rutinitas-waktu-belajar	Rutinitas, Waktu & Belajar	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Antwort, die Antworten	jawaban	word	de-id-a1-kata-rutinitas-waktu-belajar	Rutinitas, Waktu & Belajar	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	das Problem, die Probleme	masalah	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Hilfe	bantuan	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	das Geld	uang	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	der Preis, die Preise	harga	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	die Rechnung, die Rechnungen	tagihan	word	de-id-a1-kata-layanan-transaksi	Layanan & Transaksi	MOVE_TO_NEW_DECK
de-id-a1-kata-inti	das Wasser	air	word	de-id-a1-kata-makanan-minuman	Makanan & Minuman	MERGE_INTO_EXISTING
de-id-a1-kata-inti	das Brot, die Brote	roti	word	de-id-a1-kata-makanan-minuman	Makanan & Minuman	MERGE_INTO_EXISTING
de-id-a1-kata-inti	das Gemüse	sayuran	word	de-id-a1-kata-makanan-minuman	Makanan & Minuman	MERGE_INTO_EXISTING
de-id-a1-kata-inti	das Obst	buah-buahan	word	de-id-a1-kata-makanan-minuman	Makanan & Minuman	MERGE_INTO_EXISTING
de-id-a1-kata-inti	der Kaffee	kopi	word	de-id-a1-kata-makanan-minuman	Makanan & Minuman	MERGE_INTO_EXISTING
